DEPT,URL,,,,,,,,,,,,,,,,,,,,,
Youth,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=youth&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Youth",,,,,,,,,,,,,,,,,,,,,
Western Economic Diversification Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=westerneconomicdiversification&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Western%20Economic%20Diversification%20Canada",,,,,,,,,,,,,,,,,,,,,
Veterans Affairs Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=veteransaffairscanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Veterans%20Affairs%20Canada",,,,,,,,,,,,,,,,,,,,,
Treasury Board of Canada Secretariat,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=treasuryboardsecretariat&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Treasury%20Board%20of%20Canada%20Secretariat",,,,,,,,,,,,,,,,,,,,,
Canadian Transportation Agency,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=transportationagency&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Transportation%20Agency",,,,,,,,,,,,,,,,,,,,,
Office of the Taxpayers%27 Ombudsman,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=taxpayersombudsman&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Office%20of%20the%20Taxpayers%27%20Ombudsman",,,,,,,,,,,,,,,,,,,,,
Women and Gender Equality Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=statuswomen&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Women%20and%20Gender%20Equality%20Canada",,,,,,,,,,,,,,,,,,,,,
Canadian Special Operations Forces Command,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=specialoperationsforcescommand&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Canadian%20Special%20Operations%20Forces%20Command",,,,,,,,,,,,,,,,,,,,,
Canadian Space Agency,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=spaceagency&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Space%20Agency",,,,,,,,,,,,,,,,,,,,,
Social Sciences and Humanities Research Council,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=socialscienceshumanitiesresearch&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Social%20Sciences%20and%20Humanities%20Research%20Council",,,,,,,,,,,,,,,,,,,,,
